Category,Metric,Best_Implementation,Average_Time_ms,Sample_Count
Operation,BOOLEAN_CONDITION,forest__BOOLEAN,0.006,100
Operation,SELECT,forest__BOOLEAN,0.008,4046
Operation,COMPLEX_SELECT,forest__BOOLEAN,0.003,100
Operation,DELETE,forest__BOOLEAN,0.018,1008
Operation,COMPLEX_UPDATE,forest__BOOLEAN,0.008,100
Operation,UPDATE,forest__BOOLEAN,0.028,2938
Operation,INSERT,forest__BOOLEAN,0.007,3004
Operation,COMPLEX_DELETE,forest__BOOLEAN,0.005,100
Operation,BOOLEAN_CONDITION,forest__BOOLEAN,0.004,100
Operation,SELECT,forest__BOOLEAN,0.011,4050
Memory,Peak_MB,forest__BOOLEAN,4.00,3
Memory,Average_MB,forest__BOOLEAN,4.00,3
Operation,COMPLEX_SELECT,forest__DATE,0.012,100
Operation,DELETE,forest__DATE,0.017,987
Operation,COMPLEX_UPDATE,forest__DATE,0.024,100
Operation,DATE_CONDITION,forest__DATE,0.022,100
Operation,UPDATE,forest__DATE,0.033,2990
Operation,INSERT,forest__DATE,0.010,3044
Operation,COMPLEX_DELETE,forest__DATE,0.012,100
Operation,SELECT,forest__DATE,0.016,3979
Operation,COMPLEX_SELECT,forest__DATE,0.003,100
Operation,DELETE,forest__DATE,0.015,1002
Operation,COMPLEX_UPDATE,forest__DATE,0.007,100
Operation,DATE_CONDITION,forest__DATE,0.004,100
Operation,UPDATE,forest__DATE,0.024,3031
Operation,INSERT,forest__DATE,0.007,2998
Operation,COMPLEX_DELETE,forest__DATE,0.006,100
Operation,SELECT,forest__DATE,0.010,3969
Operation,COMPLEX_SELECT,forest__DATE,0.006,100
Operation,DELETE,forest__DATE,0.017,1009
Operation,COMPLEX_UPDATE,forest__DATE,0.013,100
Operation,DATE_CONDITION,forest__DATE,0.004,100
Operation,UPDATE,forest__DATE,0.022,2987
Operation,INSERT,forest__DATE,0.006,2994
Operation,COMPLEX_DELETE,forest__DATE,0.009,100
Operation,SELECT,forest__DATE,0.017,4010
Memory,Peak_MB,forest__DATE,6.00,3
Memory,Average_MB,forest__DATE,4.67,3

SUMMARY
Operation,Best_Implementation,Average_Time_ms
COMPLEX_SELECT,forest__BOOLEAN,0.004
DELETE,forest__MEDIUM_STRING,0.009
COMPLEX_UPDATE,forest__BOOLEAN,0.008
UNKNOWN_CONDITION,lfu__SMALL_STRING,0.654
DATE_CONDITION,forest__DATE,0.010
UPDATE,forest__DECIMAL,0.013
INSERT,forest__LARGE_INTEGER,0.003
COMPLEX_DELETE,forest__BOOLEAN,0.005
GREATER_THAN_CONDITION,forest__LARGE_INTEGER,0.008
BOOLEAN_CONDITION,forest__BOOLEAN,0.004
SELECT,forest__DECIMAL,0.005

MEMORY USAGE SUMMARY
Implementation_DataType,Average_MB,Peak_MB
chunk__SMALL_STRING,6.67,8.00
chunk__MEDIUM_STRING,6.00,6.00
chunk__LARGE_STRING,12.00,12.00
chunk__SMALL_INTEGER,4.00,4.00
chunk__LARGE_INTEGER,4.00,4.00
chunk__DECIMAL,4.00,4.00
chunk__BOOLEAN,4.00,4.00
chunk__DATE,6.00,6.00
lfu__SMALL_STRING,6.00,6.00
lfu__MEDIUM_STRING,6.00,6.00
lfu__LARGE_STRING,12.00,12.00
lfu__SMALL_INTEGER,4.00,4.00
lfu__LARGE_INTEGER,4.00,4.00
lfu__DECIMAL,6.00,6.00
lfu__BOOLEAN,6.00,6.00
lfu__DATE,6.00,6.00
forest__SMALL_STRING,4.67,6.00
forest__MEDIUM_STRING,4.00,4.00
forest__LARGE_STRING,10.00,10.00
forest__SMALL_INTEGER,2.00,2.00
forest__LARGE_INTEGER,2.00,2.00
forest__DECIMAL,4.00,4.00
forest__BOOLEAN,4.00,4.00
forest__DATE,4.67,6.00
