Condition,Implementation_DataType,Average_Time_ms,Sample_Count
DELETE,chunk__LARGE_INTEGER,0.028,1056
COMPLEX_UPDATE,chunk__LARGE_INTEGER,0.046,100
SEQUENTIAL_TEST,chunk__LARGE_INTEGER,0.001,1000
RANGE_TEST,chunk__LARGE_INTEGER,0.159,100
UPDATE,chunk__LARGE_INTEGER,0.027,3007
INSERT,chunk__LARGE_INTEGER,0.002,2966
COMPLEX_DELETE,chunk__LARGE_INTEGER,0.032,100
FREQUENCY_TEST,chunk__LARGE_INTEGER,0.002,10000
GREATER_THAN_CONDITION,chunk__LARGE_INTEGER,0.004,100
SELECT,chunk__LARGE_INTEGER,0.027,3971
COMPLEX_SELECT,chunk__DECIMAL,0.002,100
